id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
subject_beteens_bskill_u19_6,Advanced-READ-AND-WRITE-U19,Skill,BT-S-182,level_beteens_advanced_unit19,70,core,regular,False,bskills,19,6,1,0,B-skill 6 de la Unidad 19 - BETEENS,subject_beteens_bcheck_unit19,True
subject_beteens_bskill_u19_7,Advanced-CONVERSATION-U19,Skill,BT-S-183,level_beteens_advanced_unit19,80,core,regular,False,bskills,19,7,1,0,B-skill 7 de la Unidad 19 - BETEENS,subject_beteens_bcheck_unit19,True
subject_beteens_bskill_u20_5,Advanced-CULTURE-U20,Skill,BT-S-184,level_beteens_advanced_unit20,60,core,regular,False,bskills,20,5,1,0,B-skill 5 de la Unidad 20 - BETEENS,subject_beteens_bcheck_unit20,True
subject_beteens_bskill_u20_6,Advanced-READ-AND-WRITE-U20,Skill,BT-S-185,level_beteens_advanced_unit20,70,core,regular,False,bskills,20,6,1,0,B-skill 6 de la Unidad 20 - BETEENS,subject_beteens_bcheck_unit20,True
subject_beteens_bskill_u20_7,Advanced-CONVERSATION-U20,Skill,BT-S-186,level_beteens_advanced_unit20,80,core,regular,False,bskills,20,7,1,0,B-skill 7 de la Unidad 20 - BETEENS,subject_beteens_bcheck_unit20,True
subject_beteens_bskill_u21_5,Advanced-CULTURE-U21,Skill,BT-S-187,level_beteens_advanced_unit21,60,core,regular,False,bskills,21,5,1,0,B-skill 5 de la Unidad 21 - BETEENS,subject_beteens_bcheck_unit21,True
subject_beteens_bskill_u21_6,Advanced-READ-AND-WRITE-U21,Skill,BT-S-188,level_beteens_advanced_unit21,70,core,regular,False,bskills,21,6,1,0,B-skill 6 de la Unidad 21 - BETEENS,subject_beteens_bcheck_unit21,True
subject_beteens_bskill_u21_7,Advanced-CONVERSATION-U21,Skill,BT-S-189,level_beteens_advanced_unit21,80,core,regular,False,bskills,21,7,1,0,B-skill 7 de la Unidad 21 - BETEENS,subject_beteens_bcheck_unit21,True
subject_beteens_bskill_u22_5,Advanced-CULTURE-U22,Skill,BT-S-190,level_beteens_advanced_unit22,60,core,regular,False,bskills,22,5,1,0,B-skill 5 de la Unidad 22 - BETEENS,subject_beteens_bcheck_unit22,True
subject_beteens_bskill_u22_6,Advanced-READ-AND-WRITE-U22,Skill,BT-S-191,level_beteens_advanced_unit22,70,core,regular,False,bskills,22,6,1,0,B-skill 6 de la Unidad 22 - BETEENS,subject_beteens_bcheck_unit22,True
subject_beteens_bskill_u22_7,Advanced-CONVERSATION-U22,Skill,BT-S-192,level_beteens_advanced_unit22,80,core,regular,False,bskills,22,7,1,0,B-skill 7 de la Unidad 22 - BETEENS,subject_beteens_bcheck_unit22,True
subject_beteens_bskill_u23_5,Advanced-CULTURE-U23,Skill,BT-S-193,level_beteens_advanced_unit23,60,core,regular,False,bskills,23,5,1,0,B-skill 5 de la Unidad 23 - BETEENS,subject_beteens_bcheck_unit23,True
subject_beteens_bskill_u23_6,Advanced-READ-AND-WRITE-U23,Skill,BT-S-194,level_beteens_advanced_unit23,70,core,regular,False,bskills,23,6,1,0,B-skill 6 de la Unidad 23 - BETEENS,subject_beteens_bcheck_unit23,True
subject_beteens_bskill_u23_7,Advanced-CONVERSATION-U23,Skill,BT-S-195,level_beteens_advanced_unit23,80,core,regular,False,bskills,23,7,1,0,B-skill 7 de la Unidad 23 - BETEENS,subject_beteens_bcheck_unit23,True
subject_beteens_bskill_u24_5,Advanced-CULTURE-U24,Skill,BT-S-196,level_beteens_advanced_unit24,60,core,regular,False,bskills,24,5,1,0,B-skill 5 de la Unidad 24 - BETEENS,subject_beteens_bcheck_unit24,True
subject_beteens_bskill_u24_6,Advanced-READ-AND-WRITE-U24,Skill,BT-S-197,level_beteens_advanced_unit24,70,core,regular,False,bskills,24,6,1,0,B-skill 6 de la Unidad 24 - BETEENS,subject_beteens_bcheck_unit24,True
subject_beteens_bskill_u24_7,Advanced-CONVERSATION-U24,Skill,BT-S-198,level_beteens_advanced_unit24,80,core,regular,False,bskills,24,7,1,0,B-skill 7 de la Unidad 24 - BETEENS,subject_beteens_bcheck_unit24,True
