id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
benglish_academy.subject_benglish_bskill_u11_6,Intermediate-READ-AND-WRITE-U11,Skill,BE-S-158,benglish_academy.level_benglish_intermediate_unit11,25,core,regular,False,bskills,11,6,1,0,B-skill 6 de la Unidad 11,benglish_academy.subject_benglish_bcheck_unit11,True
benglish_academy.subject_benglish_bskill_u11_7,Intermediate-CONVERSATION-U11,Skill,BE-S-159,benglish_academy.level_benglish_intermediate_unit11,26,core,regular,False,bskills,11,7,1,0,B-skill 7 de la Unidad 11,benglish_academy.subject_benglish_bcheck_unit11,True
benglish_academy.subject_benglish_bskill_u12_5,Intermediate-CULTURE-U12,Skill,BE-S-160,benglish_academy.level_benglish_intermediate_unit12,24,core,regular,False,bskills,12,5,1,0,B-skill 5 de la Unidad 12,benglish_academy.subject_benglish_bcheck_unit12,True
benglish_academy.subject_benglish_bskill_u12_6,Intermediate-READ-AND-WRITE-U12,Skill,BE-S-161,benglish_academy.level_benglish_intermediate_unit12,25,core,regular,False,bskills,12,6,1,0,B-skill 6 de la Unidad 12,benglish_academy.subject_benglish_bcheck_unit12,True
benglish_academy.subject_benglish_bskill_u12_7,Intermediate-CONVERSATION-U12,Skill,BE-S-162,benglish_academy.level_benglish_intermediate_unit12,26,core,regular,False,bskills,12,7,1,0,B-skill 7 de la Unidad 12,benglish_academy.subject_benglish_bcheck_unit12,True
benglish_academy.subject_benglish_bskill_u13_5,Intermediate-CULTURE-U13,Skill,BE-S-163,benglish_academy.level_benglish_intermediate_unit13,24,core,regular,False,bskills,13,5,1,0,B-skill 5 de la Unidad 13,benglish_academy.subject_benglish_bcheck_unit13,True
benglish_academy.subject_benglish_bskill_u13_6,Intermediate-READ-AND-WRITE-U13,Skill,BE-S-164,benglish_academy.level_benglish_intermediate_unit13,25,core,regular,False,bskills,13,6,1,0,B-skill 6 de la Unidad 13,benglish_academy.subject_benglish_bcheck_unit13,True
benglish_academy.subject_benglish_bskill_u13_7,Intermediate-CONVERSATION-U13,Skill,BE-S-165,benglish_academy.level_benglish_intermediate_unit13,26,core,regular,False,bskills,13,7,1,0,B-skill 7 de la Unidad 13,benglish_academy.subject_benglish_bcheck_unit13,True
benglish_academy.subject_benglish_bskill_u14_5,Intermediate-CULTURE-U14,Skill,BE-S-166,benglish_academy.level_benglish_intermediate_unit14,24,core,regular,False,bskills,14,5,1,0,B-skill 5 de la Unidad 14,benglish_academy.subject_benglish_bcheck_unit14,True
benglish_academy.subject_benglish_bskill_u14_6,Intermediate-READ-AND-WRITE-U14,Skill,BE-S-167,benglish_academy.level_benglish_intermediate_unit14,25,core,regular,False,bskills,14,6,1,0,B-skill 6 de la Unidad 14,benglish_academy.subject_benglish_bcheck_unit14,True
benglish_academy.subject_benglish_bskill_u14_7,Intermediate-CONVERSATION-U14,Skill,BE-S-168,benglish_academy.level_benglish_intermediate_unit14,26,core,regular,False,bskills,14,7,1,0,B-skill 7 de la Unidad 14,benglish_academy.subject_benglish_bcheck_unit14,True
benglish_academy.subject_benglish_bskill_u15_5,Intermediate-CULTURE-U15,Skill,BE-S-169,benglish_academy.level_benglish_intermediate_unit15,24,core,regular,False,bskills,15,5,1,0,B-skill 5 de la Unidad 15,benglish_academy.subject_benglish_bcheck_unit15,True
benglish_academy.subject_benglish_bskill_u15_6,Intermediate-READ-AND-WRITE-U15,Skill,BE-S-170,benglish_academy.level_benglish_intermediate_unit15,25,core,regular,False,bskills,15,6,1,0,B-skill 6 de la Unidad 15,benglish_academy.subject_benglish_bcheck_unit15,True
benglish_academy.subject_benglish_bskill_u15_7,Intermediate-CONVERSATION-U15,Skill,BE-S-171,benglish_academy.level_benglish_intermediate_unit15,26,core,regular,False,bskills,15,7,1,0,B-skill 7 de la Unidad 15,benglish_academy.subject_benglish_bcheck_unit15,True
benglish_academy.subject_benglish_bskill_u16_5,Intermediate-CULTURE-U16,Skill,BE-S-172,benglish_academy.level_benglish_intermediate_unit16,24,core,regular,False,bskills,16,5,1,0,B-skill 5 de la Unidad 16,benglish_academy.subject_benglish_bcheck_unit16,True
benglish_academy.subject_benglish_bskill_u16_6,Intermediate-READ-AND-WRITE-U16,Skill,BE-S-173,benglish_academy.level_benglish_intermediate_unit16,25,core,regular,False,bskills,16,6,1,0,B-skill 6 de la Unidad 16,benglish_academy.subject_benglish_bcheck_unit16,True
benglish_academy.subject_benglish_bskill_u16_7,Intermediate-CONVERSATION-U16,Skill,BE-S-174,benglish_academy.level_benglish_intermediate_unit16,26,core,regular,False,bskills,16,7,1,0,B-skill 7 de la Unidad 16,benglish_academy.subject_benglish_bcheck_unit16,True
benglish_academy.subject_benglish_bskill_u17_5,Advanced-CULTURE-U17,Skill,BE-S-175,benglish_academy.level_benglish_advanced_unit17,24,core,regular,False,bskills,17,5,1,0,B-skill 5 de la Unidad 17,benglish_academy.subject_benglish_bcheck_unit17,True
benglish_academy.subject_benglish_bskill_u17_6,Advanced-READ-AND-WRITE-U17,Skill,BE-S-176,benglish_academy.level_benglish_advanced_unit17,25,core,regular,False,bskills,17,6,1,0,B-skill 6 de la Unidad 17,benglish_academy.subject_benglish_bcheck_unit17,True
benglish_academy.subject_benglish_bskill_u17_7,Advanced-CONVERSATION-U17,Skill,BE-S-177,benglish_academy.level_benglish_advanced_unit17,26,core,regular,False,bskills,17,7,1,0,B-skill 7 de la Unidad 17,benglish_academy.subject_benglish_bcheck_unit17,True
benglish_academy.subject_benglish_bskill_u18_5,Advanced-CULTURE-U18,Skill,BE-S-178,benglish_academy.level_benglish_advanced_unit18,24,core,regular,False,bskills,18,5,1,0,B-skill 5 de la Unidad 18,benglish_academy.subject_benglish_bcheck_unit18,True
benglish_academy.subject_benglish_bskill_u18_6,Advanced-READ-AND-WRITE-U18,Skill,BE-S-179,benglish_academy.level_benglish_advanced_unit18,25,core,regular,False,bskills,18,6,1,0,B-skill 6 de la Unidad 18,benglish_academy.subject_benglish_bcheck_unit18,True
